dataset,algorithm,base_algorithm,ls_mode,runs,all_feasible,best_cost,mean_cost,median_cost,std_cost,best_gap_percent,mean_gap_percent,median_gap_percent,std_gap_percent,worst_gap_percent,mean_runtime_sec,std_runtime_sec,median_runtime_sec,mean_time_to_best_sec,std_time_to_best_sec,mean_iter_to_best,median_iter_to_best,mean_eval_to_best,max_capacity_violation_count,max_vehicle_violation_count,max_missing_count,max_duplicate_count
A-n54-k7,M-SSA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,M-SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,M-SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,WOA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,WOA,WOA,none,30,True,2092.0,2477.9,2451.0,211.07448432019092,54.50516986706056,83.00590841949777,81.01920236336781,15.588957483027388,127.4741506646972,0.35708912999998577,0.04944848271044735,0.3414387000000261,0.19581647666667168,0.106354911336505,93.33333333333333,93.5,3715.2,0.0,0.0,0.0,0.0
A-n60-k9,SSA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,SSA,SSA,none,30,True,2457.0,2730.766666666667,2765.0,120.58898083511012,81.46233382570162,101.68143771541114,104.20974889217135,8.906128569801348,112.48153618906944,0.4592131533333486,0.03464943603896164,0.4472877499999868,0.38363156666668297,0.038784161745629916,146.43333333333334,144.0,5825.033333333334,0.0,0.0,0.0,0.0
A-n60-k9,SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
