config_id,description,dataset,algorithm,base_algorithm,ls_mode,run,seed,pop_size,max_iter,known_best,best_score_with_penalty,cost_without_vehicle_penalty,gap_percent_without_vehicle_penalty,gap_percent_with_penalty,route_count,expected_vehicles,max_route_load,capacity,valid_core_solution,vehicle_count_valid,feasible_solution,vehicle_violation_count,missing_count,extra_count,duplicate_count,capacity_violation_count,runtime_sec,time_to_best_sec,iter_to_best,eval_to_best
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,13,3039,40,200,784.0,1502.0,1502.0,91.58163265306122,91.58163265306122,5,5,100,100,True,True,True,0,0,0,0,0,0.17411930000000098,0.10822910000000086,120,4761
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,14,3040,40,200,784.0,1476.0,1476.0,88.26530612244898,88.26530612244898,5,5,95,100,True,True,True,0,0,0,0,0,0.18588830000000023,0.11608090000000004,128,5081
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,15,3041,40,200,784.0,1550.0,1550.0,97.70408163265306,97.70408163265306,5,5,98,100,True,True,True,0,0,0,0,0,0.1921911999999999,0.11409959999999941,115,4561
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,16,3042,40,200,784.0,1660.0,1660.0,111.73469387755102,111.73469387755102,5,5,98,100,True,True,True,0,0,0,0,0,0.1900056999999986,0.09943249999999892,102,4044
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,17,3043,40,200,784.0,1623.0,1623.0,107.01530612244898,107.01530612244898,5,5,99,100,True,True,True,0,0,0,0,0,0.1814391000000004,0.10756169999999976,111,4401
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,18,3044,40,200,784.0,1488.0,1488.0,89.79591836734694,89.79591836734694,5,5,98,100,True,True,True,0,0,0,0,0,0.17799809999999994,0.0848684999999989,89,3534
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,19,3045,40,200,784.0,1443.0,1443.0,84.0561224489796,84.0561224489796,5,5,100,100,True,True,True,0,0,0,0,0,0.18032449999999933,0.1176250999999997,124,4924
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,20,3046,40,200,784.0,1453.0,1453.0,85.33163265306122,85.33163265306122,5,5,96,100,True,True,True,0,0,0,0,0,0.17799009999999882,0.1035232999999991,109,4323
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,21,3047,40,200,784.0,1523.0,1523.0,94.26020408163265,94.26020408163265,5,5,88,100,True,True,True,0,0,0,0,0,0.17662919999999893,0.10062259999999945,107,4243
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,22,3048,40,200,784.0,1534.0,1534.0,95.66326530612245,95.66326530612245,5,5,99,100,True,True,True,0,0,0,0,0,0.1787825000000005,0.11887630000000016,128,5083
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,23,3049,40,200,784.0,1450.0,1450.0,84.94897959183673,84.94897959183673,5,5,99,100,True,True,True,0,0,0,0,0,0.17851010000000045,0.09306440000000116,98,3884
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,24,3050,40,200,784.0,1547.0,1547.0,97.32142857142857,97.32142857142857,5,5,95,100,True,True,True,0,0,0,0,0,0.1801111000000013,0.08653200000000005,88,3489
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,25,3051,40,200,784.0,1476.0,1476.0,88.26530612244898,88.26530612244898,5,5,100,100,True,True,True,0,0,0,0,0,0.1756157000000016,0.10052880000000108,109,4321
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,26,3052,40,200,784.0,1398.0,1398.0,78.31632653061224,78.31632653061224,5,5,91,100,True,True,True,0,0,0,0,0,0.17843069999999983,0.11833880000000008,128,5082
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,27,3053,40,200,784.0,1475.0,1475.0,88.13775510204081,88.13775510204081,5,5,98,100,True,True,True,0,0,0,0,0,0.17436580000000035,0.08655320000000088,94,3723
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,28,3054,40,200,784.0,1441.0,1441.0,83.80102040816327,83.80102040816327,5,5,98,100,True,True,True,0,0,0,0,0,0.18027599999999921,0.11370389999999908,121,4803
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,29,3055,40,200,784.0,1539.0,1539.0,96.30102040816327,96.30102040816327,5,5,100,100,True,True,True,0,0,0,0,0,0.18128650000000057,0.1227797000000006,130,5162
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,30,3056,40,200,784.0,1572.0,1572.0,100.51020408163265,100.51020408163265,5,5,99,100,True,True,True,0,0,0,0,0,0.17496709999999993,0.0878268999999996,95,3766
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,M-WOA,WOA,2opt_qualitybalanced_relocate,1,4027,40,200,784.0,784.0,784.0,0.0,0.0,5,5,98,100,True,True,True,0,0,0,0,0,4.642443799999999,0.43243859999999934,20,782
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,M-WOA,WOA,2opt_qualitybalanced_relocate,2,4028,40,200,784.0,784.0,784.0,0.0,0.0,5,5,98,100,True,True,True,0,0,0,0,0,5.664291500000001,0.9447901000000023,38,1513
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,M-WOA,WOA,2opt_qualitybalanced_relocate,3,4029,40,200,784.0,830.0,830.0,5.86734693877551,5.86734693877551,5,5,99,100,True,True,True,0,0,0,0,0,5.1197239,2.7801997999999983,99,3940
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,M-WOA,WOA,2opt_qualitybalanced_relocate,4,4030,40,200,784.0,828.0,828.0,5.612244897959184,5.612244897959184,5,5,99,100,True,True,True,0,0,0,0,0,4.093422799999999,1.6166094999999991,75,2965
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,M-WOA,WOA,2opt_qualitybalanced_relocate,5,4031,40,200,784.0,811.0,811.0,3.443877551020408,3.443877551020408,5,5,98,100,True,True,True,0,0,0,0,0,4.6187383,1.2197335000000002,57,2244
