dataset,algorithm,run,seed,iteration,best_score_with_penalty
A-n32-k5,WOA,3,2029,145,1202.0
A-n32-k5,WOA,3,2029,146,1202.0
A-n32-k5,WOA,3,2029,147,1202.0
A-n32-k5,WOA,3,2029,148,1202.0
A-n32-k5,WOA,3,2029,149,1202.0
A-n32-k5,WOA,3,2029,150,1202.0
A-n32-k5,WOA,3,2029,151,1202.0
A-n32-k5,WOA,3,2029,152,1202.0
A-n32-k5,WOA,3,2029,153,1202.0
A-n32-k5,WOA,3,2029,154,1202.0
A-n32-k5,WOA,3,2029,155,1202.0
A-n32-k5,WOA,3,2029,156,1202.0
A-n32-k5,WOA,3,2029,157,1202.0
A-n32-k5,WOA,3,2029,158,1202.0
A-n32-k5,WOA,3,2029,159,1202.0
A-n32-k5,WOA,3,2029,160,1202.0
A-n32-k5,WOA,3,2029,161,1202.0
A-n32-k5,WOA,3,2029,162,1202.0
A-n32-k5,WOA,3,2029,163,1202.0
A-n32-k5,WOA,3,2029,164,1202.0
A-n32-k5,WOA,3,2029,165,1202.0
A-n32-k5,WOA,3,2029,166,1202.0
A-n32-k5,WOA,3,2029,167,1202.0
A-n32-k5,WOA,3,2029,168,1202.0
A-n32-k5,WOA,3,2029,169,1202.0
A-n32-k5,WOA,3,2029,170,1202.0
A-n32-k5,WOA,3,2029,171,1202.0
A-n32-k5,WOA,3,2029,172,1202.0
A-n32-k5,WOA,3,2029,173,1202.0
A-n32-k5,WOA,3,2029,174,1202.0
A-n32-k5,WOA,3,2029,175,1202.0
A-n32-k5,WOA,3,2029,176,1202.0
A-n32-k5,WOA,3,2029,177,1202.0
A-n32-k5,WOA,3,2029,178,1202.0
